Recognition Log: Kshitij Sinha(1416-0481) Hritik Baweja(5667-7397) // [$1 RECOGNITION ALGORITHM] // [Unistroke Gesture Logs] // USER-DEPENDENT RANDOM-100
User[all-users],GestureType[all-gestures-types],RandomIteration[1to100],#ofTrainingExamples[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
1,triangle,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",triangle05,True,0.9579977983839951,triangle05,"{'triangle05': 0.9579977983839951, 'circle03': 0.8170169360054635, 'v06': 0.5850656209416643, 'pigtail09': 0.5669631696082408, 'right_curly_brace04': 0.4636560599413807, 'left_sq_bracket02': 0.44949584222309713, 'delete_mark10': 0.429516536577625, 'right_sq_bracket09': 0.37512899029989655, 'left_curly_brace04': 0.3747356909259918, 'caret10': 0.3720655568808129, 'star03': 0.32950941507406706, 'question_mark02': 0.2975002069342926, 'arrow07': 0.2710099490850767, 'rectangle10': 0.20411941785480425, 'check02': 0.15103207100466953, 'x01': 0.11664042497832194}"
1,x,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",x01,True,0.9499671690193471,x01,"{'x01': 0.9499671690193471, 'rectangle10': 0.6577703274160377, 'check02': 0.49078871565127724, 'v06': 0.4427729675518245, 'delete_mark10': 0.43537622791941033, 'left_sq_bracket02': 0.4056890851233169, 'left_curly_brace04': 0.3829531452079288, 'arrow07': 0.3725412128721539, 'star03': 0.3528760236121661, 'question_mark02': 0.35050201489175914, 'right_curly_brace04': 0.3111666663946282, 'caret10': 0.2728314070000861, 'right_sq_bracket09': 0.25923214682022644, 'pigtail09': 0.23708842040187084, 'triangle05': 0.06918185950263456, 'circle03': 0.010582288980508947}"
1,rectangle,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",rectangle10,True,0.9687738923108298,rectangle10,"{'rectangle10': 0.9687738923108298, 'v06': 0.6945780127912005, 'x01': 0.6545477318157851, 'check02': 0.5806735613571361, 'arrow07': 0.37133529117497377, 'delete_mark10': 0.3696373322704849, 'star03': 0.3049197809752564, 'left_curly_brace04': 0.2914128446454979, 'caret10': 0.2510703279984081, 'left_sq_bracket02': 0.2322691953615601, 'circle03': 0.16494924871230476, 'question_mark02': 0.1638607779560619, 'right_curly_brace04': 0.1544242881911161, 'triangle05': 0.14357390044384477, 'right_sq_bracket09': 0.12666561132702314, 'pigtail09': 0.12649129128217962}"
1,circle,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",circle03,True,0.9583378262683482,circle03,"{'circle03': 0.9583378262683482, 'triangle05': 0.7939513331936597, 'v06': 0.5827920534999467, 'pigtail09': 0.5668343952524761, 'right_curly_brace04': 0.40772258633220604, 'right_sq_bracket09': 0.3527327637778551, 'left_sq_bracket02': 0.3407789277627963, 'delete_mark10': 0.32975975908908883, 'caret10': 0.3152316486991461, 'left_curly_brace04': 0.2682348931327402, 'question_mark02': 0.2201091751180031, 'star03': 0.2186531929827047, 'rectangle10': 0.19904664925291626, 'arrow07': 0.1628082135330592, 'check02': 0.0917144387243567, 'x01': 0.045895593934360046}"
1,check,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",check02,True,0.9316141672158493,check02,"{'check02': 0.9316141672158493, 'v06': 0.6959008009794976, 'rectangle10': 0.6188133622784462, 'arrow07': 0.5647148872282711, 'delete_mark10': 0.5363263897442616, 'x01': 0.5014423241614756, 'caret10': 0.4873145895206512, 'left_curly_brace04': 0.4607960554814462, 'star03': 0.44037171429843036, 'left_sq_bracket02': 0.4181721997236786, 'pigtail09': 0.3302260937493514, 'right_curly_brace04': 0.24604044760556798, 'triangle05': 0.1695529476051265, 'question_mark02': 0.15986194311500546, 'right_sq_bracket09': 0.1476190723959816, 'circle03': 0.12715518822073935}"
1,caret,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",caret10,True,0.9505978297159186,caret10,"{'caret10': 0.9505978297159186, 'pigtail09': 0.6652541475200737, 'arrow07': 0.6027399704901208, 'delete_mark10': 0.5809601092586023, 'check02': 0.5071737371816918, 'v06': 0.4072054495693449, 'left_curly_brace04': 0.37640061751489673, 'left_sq_bracket02': 0.36718840931251595, 'star03': 0.3456986156969144, 'triangle05': 0.32960741016112716, 'x01': 0.2677860303065839, 'rectangle10': 0.2569463520261057, 'circle03': 0.25481146407281074, 'right_curly_brace04': 0.23774708824792212, 'question_mark02': 0.0538937299397062, 'right_sq_bracket09': 0.041396645510430874}"
1,arrow,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",arrow07,True,0.8910265652802258,arrow07,"{'arrow07': 0.8910265652802258, 'caret10': 0.5849895138167307, 'pigtail09': 0.575932353224551, 'check02': 0.5520871055370913, 'star03': 0.5215287101546611, 'left_sq_bracket02': 0.4409569003036157, 'left_curly_brace04': 0.3920828593670216, 'x01': 0.3894964217383111, 'delete_mark10': 0.3793858828771913, 'triangle05': 0.3464886559211795, 'rectangle10': 0.340068808195943, 'v06': 0.3315802570955916, 'question_mark02': 0.2178728794246645, 'right_curly_brace04': 0.20903705523405247, 'circle03': 0.18813103319632574, 'right_sq_bracket09': 0.11497519095152386}"
1,left_sq_bracket,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",left_sq_bracket02,True,0.9682897213387187,left_sq_bracket02,"{'left_sq_bracket02': 0.9682897213387187, 'left_curly_brace04': 0.6715289639975683, 'right_sq_bracket09': 0.6088011150418777, 'right_curly_brace04': 0.5274973778224468, 'check02': 0.4693689931977616, 'triangle05': 0.4503697190245689, 'arrow07': 0.44027974894520294, 'question_mark02': 0.42200235875416614, 'caret10': 0.3606653665049998, 'x01': 0.35546071342935426, 'circle03': 0.3246374320375638, 'star03': 0.2976179975682721, 'pigtail09': 0.2876152780786827, 'delete_mark10': 0.28572759893019173, 'rectangle10': 0.19318589245720708, 'v06': 0.06949095518141124}"
1,right_sq_bracket,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",right_sq_bracket09,True,0.805422025821946,right_sq_bracket09,"{'right_sq_bracket09': 0.805422025821946, 'question_mark02': 0.679020591493537, 'left_curly_brace04': 0.5936248423411524, 'right_curly_brace04': 0.5571997742594286, 'left_sq_bracket02': 0.5133391177912527, 'delete_mark10': 0.46980344437332466, 'x01': 0.3644530567958969, 'triangle05': 0.3400117776362588, 'v06': 0.31937871582884847, 'check02': 0.3071901483236674, 'circle03': 0.29326236218722224, 'star03': 0.2650730594427003, 'pigtail09': 0.2163436482974871, 'rectangle10': 0.20253847058992502, 'arrow07': 0.1660138610302212, 'caret10': 0.16599079450108012}"
1,v,1,1,16,"['triangle05', 'x01', 'rectangle10', 'circle03', 'check02', 'caret10', 'arrow07', 'left_sq_bracket02', 'right_sq_bracket09', 'v06', 'delete_mark10', 'left_curly_brace04', 'right_curly_brace04', 'star03', 'pigtail09', 'question_mark02']","['triangle10', 'x06', 'rectangle05', 'circle04', 'check06', 'caret09', 'arrow09', 'left_sq_bracket03', 'right_sq_bracket10', 'v04', 'delete_mark05', 'left_curly_brace08', 'right_curly_brace05', 'star04', 'pigtail02', 'question_mark06']",v06,True,0.9428827266278876,v06,"{'v06': 0.9428827266278876, 'rectangle10': 0.7287992622094933, 'check02': 0.6390898636293589, 'circle03': 0.6121016149345024, 'triangle05': 0.5631812895433699, 'delete_mark10': 0.5323542311178757, 'pigtail09': 0.4713044090808989, 'x01': 0.45254193018571065, 'caret10': 0.4143632267704448, 'star03': 0.385936388155388, 'arrow07': 0.3783204545828991, 'right_sq_bracket09': 0.35958725113128387, 'right_curly_brace04': 0.3054889154993987, 'question_mark02': 0.24188893391248178, 'left_curly_brace04': 0.20360110173286894, 'left_sq_bracket02': 0.03851415298668048}"
