Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
eight,20.6809315788698,19.9646747991254,18.8983923614632,17.6091295906634,16.5610170572541,15.0791941801827,13.6459387249977,12.2747196982557,11.0149328018403,10.1897972908607,9.94264418801583,10.4344578937293,10.9578607898306,11.4076905153243,12.0757665680111,12.5985241669165,12.8756822841354,13.6314656746264,14.1617426483874,15.292833861284,15.2698017131902,15.2615581240901,15.6465305015164,16.3998065080202,17.228774151662,18.086799610448,18.9357362050245,20.037721567172,20.9448303169745,21.7255014080615,22.5355268877257,22.3902647104295,22.0047771504432,20.9988583658127,19.8978435143399,18.966707576549,18.2679234378725,17.3037800498877,16.4359895190415,15.762037266891,15.1860367550485,14.6541319215148,14.7786390405609,13.9589451341166,13.8242661058556,13.6123199062157,12.9984206165352,12.6614192984816,12.4236649744477,12.5117854256509,12.4815371705496,12.6387970656965,13.3785274674445,14.0037370016247,14.3036337453312,15.507591113297,16.053422724622,16.5757973002168,17.1035964750021,17.9140256412559,18.4375268564613,19.1176401430561,19.4974593328846,20.2611920151024
five,17.5723127645835,17.3169056567057,17.0606650165792,17.1288656420962,17.2544536885766,17.4970261905386,18.4016044213994,18.6684814170459,19.2522760799865,19.435799778469,19.3810979001474,18.8707446197811,16.936314663347,16.074859180465,15.7705821164344,15.670992877314,15.4177613569136,15.1515020612758,14.8599306553374,14.5970121063181,13.9922291821728,13.0722422516454,12.3291873421038,12.3183758209361,13.5291809964952,14.0373131151053,14.5910815409995,15.6841061258286,16.6032081571022,17.17699041365,17.0320187440952,16.5710601962482,16.0121863259762,15.6228716778235,15.0333709711194,14.3058896198266,13.9579621813157,13.035196125482,12.5828991943461,12.117050715123,11.8616325278125,11.6359249828931,11.6674262452295,11.9082377514236,12.7294680093875,13.846765732341,14.9795030521518,16.2634626720657,17.584332686666,18.8440189416809,20.0128674066276,21.1794750451147,22.1924559476795,22.7875338540092,23.4107254683386,23.8437115849257,23.9124387853717,24.0986393175092,24.481202543855,24.4155562935102,24.3539741883419,24.1669987041532,24.6194262895489,24.6785277078285
four,19.0223367188251,17.7277224274501,16.6660527583113,15.7807929332635,15.0246846156623,14.4279150788398,13.7203734077907,13.1378910329474,12.7563514807856,12.5355288429423,12.4956441530283,12.685646355483,13.1171701882048,13.4467700773629,14.1172913436869,14.5236451487202,14.9847223881985,15.4983712241289,16.1129171056824,17.27154676621,18.3341996316908,19.0401123452277,19.1135392868847,18.1274248287494,16.4776609316018,15.4787203534474,15.7478521363782,17.544142563979,17.0771299582577,17.3512652012827,18.4624680952574,19.1283113720641,19.5526562978205,19.9863628825701,20.4274361472342,20.8680743269983,21.226697309667,21.4201446754448,21.6729251276261,21.7900204877382,21.6855008744866,21.4116490698085,20.9663009638189,20.1246341600791,17.5289680033251,15.2082011563779,14.9897086338758,15.9054808817575,16.3343255730371,16.7955630681742,16.6996055946752,16.467040125472,16.2731249982048,16.2295517487998,16.3960081407399,16.6690155259104,16.9888237503919,17.4423732339479,18.0157630467094,18.6509657870155,19.3165895980007,20.0251895735668,20.9176354968803,22.1143220999763
nine,17.4321591319302,17.0172018199026,16.3618205686598,15.9049518462971,15.8469770452295,15.6068847549399,15.8039227538361,16.4004473375501,16.7048069060952,16.6972198035362,16.3784658095468,15.8579541911087,15.2535819439263,14.8540837058119,14.5938796220057,14.3752287937904,14.4746182976496,14.8304316804393,15.0755199242124,15.6353006663274,16.0031717643307,16.3453402099046,16.5875764408839,16.8262874644882,17.0917175732212,17.34736501524,17.6049127877395,18.0465719632458,18.7432531602963,19.2235259178738,19.499408843612,19.4666730634687,19.4030301442501,19.1912686393588,18.5526576857469,17.7453601167935,17.4025822617205,18.1805254695122,15.8467120327308,15.2385546642267,15.2298947552407,15.5156495645758,15.0095266408061,14.5756087878053,14.2963147846655,14.0106583232132,13.9933777925031,13.8335078371031,13.8577590032384,13.958016307054,14.158454634078,14.8702899039821,15.349854602791,15.9987975324735,17.3033237672838,18.3110538741217,19.1902405711804,20.1112499839739,21.1795103359069,22.2532690485779,23.3459592665109,24.4949246947237,25.7235140768604,26.6354860602824
one,12.4946632065224,12.0985552161292,11.7151848274272,11.3324257314441,10.91689417066,10.4811458086762,10.0698967382188,9.67302575378585,9.27978719417797,8.8801410841218,8.46785754638101,8.06011423951669,7.66346254272803,7.2656861782021,6.85242993679771,6.4447739544689,6.05111420790536,5.65964984524565,5.26879457351782,4.88058232226868,4.49756167528796,4.12155877515689,3.74626093113248,3.37030327658134,2.98470162805961,2.60116504366514,2.22394407892842,1.84454482802017,1.4596115890053,1.09461787638196,0.747949117198961,0.48324111565762,0.506680316003346,0.812304919396935,1.15727537966865,1.52565237618566,1.91052819979682,2.30230086131089,2.68591180641601,3.05744362473844,3.42716273961174,3.79171739555123,4.15687640166928,4.53606144296065,4.91923704438332,5.29777428674773,5.68542968970446,6.07779565937172,6.4619892640662,6.83802998885217,7.23500343303039,7.61736023130475,8.01310557140648,8.41783199275222,8.81656711903184,9.21005502317242,9.60112857744657,10.0029723260348,10.3790339980888,10.7542230949499,11.1576504107685,11.5796130635473,12.022686085874,12.4473078431042
seven,25.9905071544743,25.3947647297317,24.5539814756814,23.8978578830418,23.3929595039872,22.8190207082716,22.2669598263044,21.7821693241733,21.3115895626498,20.8930242898578,20.4990091344003,20.3598964359589,20.0892533509555,19.7806839377993,19.4595269240333,19.0162028486638,18.5754861037925,18.0012967132358,17.3902025836979,16.6323660547212,15.7281603796702,14.609861418197,13.4703282577768,13.2402953401773,13.3927906462573,13.6806472938877,14.0642496183738,14.1472532191737,14.0177290144051,13.7687219536754,13.4426017724048,12.9299329901925,12.4612887687746,11.9156136411716,11.4482708764251,11.1061320433722,10.7230536618125,10.4902375928516,10.4105493983873,10.5162051872949,10.7018105933016,11.081949887755,11.6060361991235,12.2422868816848,12.9774188357212,13.7461017531003,14.5303965935795,15.4472425219705,16.4086611841245,17.4109016821386,18.4205812049691,19.4226880145306,20.4593423547852,21.5237987449622,22.5734656590379,23.6360284721463,24.7006762664512,25.7073136393926,26.724508023164,27.8025528357981,28.8746533440831,30.234717026643,31.2933580390955,31.5056418282798
six,27.9603219887014,26.552320977171,25.2541006660448,24.0240300134478,22.8190305410056,21.7321574685144,20.6843289381414,19.4790076135738,18.5271999138992,17.587224437383,16.7885336746115,16.102377892688,15.4720253760077,14.9590914205068,14.5249214900979,14.241152761705,13.965415552384,13.8040195965914,13.6198627615626,13.7272683567048,13.7565468681574,13.8072623151768,14.1033634160981,14.6394663059132,15.1042073254246,15.6096650894108,16.4077722047956,17.5253313546291,18.4213664884253,18.6540372724011,18.8509104326064,19.4043453999364,20.4053290297877,21.31336535557,22.4825879382944,23.2827860858668,23.784212966492,24.0938467231732,23.8292717983392,23.5327040357438,23.4323330897407,23.1086154330439,22.8405239909756,22.3337988480586,21.8199242487128,21.108649240878,20.0107615055176,19.0792598065973,18.176298662541,17.8745184946618,17.0910216919332,15.9695778298873,14.9512862626279,14.1411072362322,13.0141202115279,11.9455922519991,11.3258543467957,11.0822434434685,11.0776080221186,11.2334334263531,11.6055931915937,12.0843333770452,13.0562630531616,13.8608133093813
three,21.3021094113731,20.5694166022329,19.8713215292242,19.4272053994468,18.4880365092266,17.8093510461596,17.2693472625239,17.0326337233911,17.1631993858259,17.3363850086536,17.7654235178378,18.312510033845,18.5514218773907,18.9107724305419,19.4656876491898,19.3908126033004,19.8374514237317,20.1918987543576,20.3572026240135,20.5539333766708,20.5709459736488,20.7139406481616,20.3796702043594,20.6438734857467,20.4598717238171,19.4445602672875,17.5228452857578,15.2817134564677,12.7085244368304,11.3726289512188,13.158697073672,15.7852077093972,17.8997170345975,19.1121191492237,19.8184243701099,20.1583130756987,20.7621244203142,21.1441999828548,20.983401095659,20.8171964210406,20.6722511680226,20.546839222217,20.607893289979,20.9211234340011,21.0732721658131,21.5544953969725,22.0099410834272,22.1512835074914,22.4958782875681,22.6700467879666,22.5532512778387,22.403036198466,22.3423702651524,22.3421390728733,22.3924327922548,22.5180234595836,22.7120933880489,22.8244107600387,22.8101042865967,23.2761018670648,23.9850707682057,24.5388533802837,24.9711526222625,25.2132678547868
two,25.4427382555862,24.5606830656785,24.0249989418635,23.0610128196979,22.5067203074383,21.444019675771,20.6100906118453,19.531219024015,18.6850332251672,17.8951073258293,16.9785854963028,16.4382059180935,15.8296296951064,15.2767667507061,14.9199392574783,15.2601291114193,14.8791122569278,14.3011040442179,13.8068871551336,13.166709124393,12.7241369739052,12.4451610126074,12.1789503430843,11.8272802918518,11.5519977387733,11.3647208580703,11.3808214707501,11.5281803659073,11.7094494859111,12.1200349589928,12.6397959426777,13.3186788126653,14.2598607986857,15.3229728253838,16.3724034303886,17.5475973521569,18.4057605194905,19.3909437434071,19.3242831336999,18.8877476387997,18.4995823428896,18.5854614853127,19.7752788251761,17.4612445163392,15.3752833018857,13.7651789368406,12.8933016433239,12.89587145608,13.695606690968,14.7537600355413,15.8097004592827,16.6968152643451,17.4130603822346,18.1614276337985,18.9868946235586,19.8212815534802,20.7056117877375,21.6447999658174,22.6160351408937,23.6635483115362,24.7803942264722,25.9071628177082,26.6906437106949,29.2711617886898
zero,12.220153405395,12.119168866788,12.0686558864021,11.5551847156766,11.3662315709882,10.9442293188742,10.7258592291159,10.7755733738202,10.9273692573486,11.3437184819885,11.5710221031176,11.8783205835383,12.1975094889753,12.3904493132688,12.5464861801313,12.6699681091074,12.739449843137,12.6983914404111,12.5583346369295,12.4875571907912,12.3096667796376,11.7030222576952,11.3969630704184,11.2273006132582,10.8659818581145,10.6524645304304,10.7310363390379,10.8193394082433,11.0669017688684,11.1793558112217,11.4523339638593,11.6669513532697,11.8900397554183,12.0942612224797,12.2176723543536,12.2790089784671,12.3871501522201,12.5568964751654,12.6998936003746,12.8154591348726,12.9029068814221,12.8157019734022,12.8770627748317,12.7550256603301,12.6908140841558,12.5717314378661,12.2599484376885,11.8379969962988,11.3717088844714,10.9497600126866,10.7946532520355,10.6435515439988,10.7328918504812,10.5642863889539,10.6172892886083,10.6969653572035,10.5510950350105,10.5093950234727,10.5776987346968,10.6384915598492,10.8026398756451,11.2203686153651,11.6883013677576,12.4139455126978
