Recognition Log: Kshitij Sinha(1416-0481) Hritik Baweja(5667-7397) // [$1 RECOGNITION ALGORITHM] // [Unistroke Gesture Logs] // USER-DEPENDENT RANDOM-100
User[all-users],GestureType[all-gestures-types],RandomIteration[1to2],#ofTrainingExamples[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
1,Zero,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",Zero02,Zero10,1,0.93,Zero10,"{'Zero10': 0.928984510156141, 'Six05': 0.7193952179104524, 'Four01': 0.49247532199016575, 'Eight06': 0.46137644767260966, 'Three02': 0.40362122931079125, 'Two07': 0.36663513452887964, 'Nine04': 0.3408761685967605, 'Seven04': 0.3238369323980622, 'Five10': 0.3230839073944345, 'One01': 0.11797280942099664}"
1,One,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",One06,One01,1,0.83,One01,"{'One01': 0.8265749199558707, 'Seven04': 0.8086890135384236, 'Two07': 0.7505491872271727, 'Three02': 0.7472073825639676, 'Five10': 0.7426155872022662, 'Four01': 0.5433711258214922, 'Nine04': 0.5104132177675175, 'Six05': 0.4969295507711754, 'Eight06': 0.39257310002844026, 'Zero10': 0.31065074010758353}"
1,Two,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",Two08,Two07,1,0.97,Two07,"{'Two07': 0.9685458672858975, 'Seven04': 0.8240863040551891, 'One01': 0.6703189392314367, 'Three02': 0.6101609354834789, 'Five10': 0.599940076385855, 'Four01': 0.38638533039748324, 'Six05': 0.3752279573225543, 'Eight06': 0.324655219592519, 'Nine04': 0.3109078148782657, 'Zero10': 0.2859552944562147}"
1,Three,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",Three09,Three02,1,0.8,Three02,"{'Three02': 0.7975868771776393, 'Seven04': 0.7760085716436342, 'Two07': 0.7002135515446537, 'Five10': 0.6860730033267775, 'One01': 0.6298710364297313, 'Four01': 0.48891268617962236, 'Six05': 0.45277188927533774, 'Nine04': 0.40352381676206706, 'Eight06': 0.34503642795613765, 'Zero10': 0.3147306527289859}"
1,Four,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",Four09,Four01,1,0.85,Four01,"{'Four01': 0.8491437564202586, 'Six05': 0.667624999040574, 'Zero10': 0.6135724074329288, 'Nine04': 0.5388834442135289, 'Three02': 0.5166080048597146, 'Five10': 0.4493630728574961, 'Eight06': 0.40460517405468766, 'Seven04': 0.37865660884561614, 'Two07': 0.3515399650550751, 'One01': 0.335865527831403}"
1,Five,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",Five05,Five10,1,0.9,Five10,"{'Five10': 0.8961229597382705, 'One01': 0.8039936787844657, 'Seven04': 0.7016630640558286, 'Three02': 0.6882098660646807, 'Two07': 0.6301593976112516, 'Six05': 0.5449594925811536, 'Nine04': 0.4830213426640372, 'Four01': 0.43201589117280637, 'Eight06': 0.25676401798805115, 'Zero10': 0.12203338807151165}"
1,Six,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",Six09,Six05,1,0.85,Six05,"{'Six05': 0.8451969621202162, 'Four01': 0.6500371870144979, 'Five10': 0.5658113150747812, 'Three02': 0.5425924654526052, 'Zero10': 0.5032268618573477, 'One01': 0.4796158186707261, 'Nine04': 0.4296298429544505, 'Eight06': 0.40901718230424566, 'Two07': 0.3946786971815217, 'Seven04': 0.3889397772691191}"
1,Seven,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",Seven09,Seven04,1,0.87,Seven04,"{'Seven04': 0.8731717644140051, 'Two07': 0.733392921138407, 'Three02': 0.6466986415129456, 'Five10': 0.6060883861709323, 'One01': 0.4696010668700277, 'Nine04': 0.3994210059239126, 'Four01': 0.3592043362308245, 'Six05': 0.3434163674733478, 'Eight06': 0.254057423841453, 'Zero10': 0.2525578793290916}"
1,Eight,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",Eight09,Eight06,1,0.82,Eight06,"{'Eight06': 0.8208488411102792, 'Zero10': 0.5467294544904641, 'Six05': 0.5117017421934779, 'Four01': 0.4705579880969588, 'Three02': 0.36793950659974173, 'Five10': 0.3460540084537459, 'Two07': 0.33674541287882986, 'Seven04': 0.3132568080473509, 'Nine04': 0.31064049217440726, 'One01': 0.30205373275966485}"
1,Nine,1,1,10,"['Zero10', 'One01', 'Two07', 'Three02', 'Four01', 'Five10', 'Six05', 'Seven04', 'Eight06', 'Nine04']",Nine06,Nine04,1,0.94,Nine04,"{'Nine04': 0.9354115053591986, 'Four01': 0.5894722869827975, 'Five10': 0.5656346388689337, 'Three02': 0.46672413934314105, 'Six05': 0.4358560485625447, 'Seven04': 0.4299371934362227, 'One01': 0.4209326232698285, 'Zero10': 0.39078661419867233, 'Two07': 0.3688280838779012, 'Eight06': 0.3023712519703503}"
1,Zero,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Zero01,Zero05,1,0.93,Zero05,"{'Zero05': 0.9329189616606773, 'Zero04': 0.9124222973023297, 'Six06': 0.6299247858136319, 'Four06': 0.5908358641433451, 'Six02': 0.5578327640051334, 'Eight03': 0.5277496940323152, 'Eight05': 0.49192977612742006, 'Four01': 0.4725314703991247, 'One07': 0.3791563762754785, 'Nine02': 0.37876273282717965, 'Three06': 0.3682637322627096, 'Nine07': 0.34434407251349197, 'Three07': 0.3389271267719238, 'Two02': 0.32203436844328637, 'Two04': 0.31801351907765607, 'Seven04': 0.2999445907063111, 'Five01': 0.2695436146217838, 'Seven02': 0.15418217275312163, 'Five08': 0.15288835075947715, 'One05': 0.008186966743760848}"
1,One,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",One01,One05,1,0.91,One05,"{'One05': 0.9095347862239113, 'Five01': 0.7274086588479451, 'Five08': 0.708774547331013, 'Two04': 0.6345268760392215, 'Two02': 0.6292642996811825, 'Three06': 0.6154244562868801, 'Seven04': 0.6144121464465822, 'Three07': 0.6031190006253604, 'One07': 0.5306436990557867, 'Six02': 0.4382206815720282, 'Six06': 0.42039880674899, 'Nine02': 0.412249694144725, 'Four01': 0.39920541589522474, 'Nine07': 0.39321110357456646, 'Four06': 0.38378835178590365, 'Seven02': 0.33671720556859386, 'Eight05': 0.2631189622086213, 'Eight03': 0.2560190303353127, 'Zero04': 0.09751619496828201, 'Zero05': 0.0692188109735784}"
1,Two,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Two05,Two02,1,0.95,Two02,"{'Two02': 0.953090204488396, 'Two04': 0.9503706393846378, 'Seven04': 0.8425533738104036, 'Three07': 0.7118578217850409, 'Three06': 0.6874847853510049, 'Seven02': 0.6472193949661262, 'One07': 0.6248783847813344, 'Five08': 0.6199544146269, 'Five01': 0.5587756394798635, 'One05': 0.5342573413498565, 'Nine02': 0.4296059537999072, 'Four06': 0.4152435786185896, 'Nine07': 0.390860285953031, 'Six06': 0.3771243869748957, 'Zero04': 0.3714443032256013, 'Four01': 0.36549550311371415, 'Zero05': 0.36119114097829186, 'Six02': 0.3224018064564579, 'Eight05': 0.24265464641824963, 'Eight03': 0.23222000239869656}"
1,Three,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Three03,Three06,1,0.95,Three06,"{'Three06': 0.9459469384392267, 'Three07': 0.9191967093352168, 'Seven04': 0.796838935523062, 'Five01': 0.7494086882078437, 'Two04': 0.7315585657405042, 'Two02': 0.7152895851337571, 'One07': 0.6478905191549862, 'Seven02': 0.6364963788244784, 'Four06': 0.5710507612266468, 'One05': 0.5488325375155475, 'Five08': 0.543275131190851, 'Nine02': 0.49862651901976907, 'Four01': 0.49019818197396436, 'Nine07': 0.4604969370056077, 'Six02': 0.4558963197448985, 'Six06': 0.4487965313351394, 'Zero04': 0.38424952244248656, 'Zero05': 0.3690507347401668, 'Eight03': 0.33011865900369775, 'Eight05': 0.30218564661944136}"
1,Four,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Four08,Four01,1,0.89,Four01,"{'Four01': 0.8915351633831572, 'Four06': 0.757511966581322, 'Six02': 0.7030848427321095, 'Nine07': 0.6009827573126387, 'Six06': 0.5792486538228403, 'Nine02': 0.5702935572808071, 'Zero04': 0.5541439818689808, 'Zero05': 0.538104351690767, 'Five01': 0.48618077197614606, 'Eight03': 0.46842800224471304, 'Eight05': 0.46054265421953966, 'Five08': 0.4360936500310687, 'Three06': 0.4208712039900473, 'Three07': 0.3944493647879601, 'Seven04': 0.3650805196018042, 'One05': 0.3295234945070551, 'Two04': 0.31639955837561184, 'Two02': 0.3125890864283285, 'Seven02': 0.29458638342567733, 'One07': 0.2667221058877748}"
