Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,36.5738585337886,34.994986888314,33.1012452778778,31.2888676752191,29.4058300193192,27.8008037870221,26.4270510641564,25.1136068011049,24.0286692366468,23.0838749080168,21.9194727733266,21.0484936317114,20.184678577797,19.3635726153907,18.6135989883609,18.2149191883002,17.8046464567154,17.372283231644,17.2753284450303,17.239385939726,17.3144706460271,17.6736903369312,17.3520924587263,17.0463548321851,16.3607963050919,15.6730891787277,14.6574148541621,14.553558377427,15.5307974535296,17.3555675439049,20.706784189542,25.5803519255434,26.6341550256208,27.4327633857199,27.907055651085,28.0311566971452,27.3721183999397,26.5114633827732,25.2535889585241,24.8127757015135,24.406134487973,25.442723995003,26.1631593764572,24.978529897783,24.3959544071412,24.066587952792,23.4764089289667,22.5624165379055,21.6845591800804,20.9064758478078,20.5369397861355,20.7532908078675,21.5565414500903,22.7491801165268,23.8666623689563,24.5494005933993,24.4444183942823,24.3868279162631,24.5945644250525,25.1008847957085,25.7587646626972,26.5880436126267,27.6976377230564,28.3991260013334
caret,19.283757074656,18.6816210423068,18.3227314124227,17.9171189292244,17.5006846676762,17.0471775086231,16.3894626741254,15.9119826296624,15.2901459735719,14.8348276864832,14.6429478107735,14.1774817920041,13.8395121249422,13.4236348673171,13.1015633112681,12.878250918087,12.6365454194672,12.4336114310113,12.2966253140602,12.1037842628552,11.9479054319245,11.8908789481654,11.947885346963,12.1125690320393,12.244084270257,12.3408761942047,12.4193555394579,12.3401747722837,12.290651284452,12.3227374530698,12.1484252081042,11.5865747110774,11.4649162715333,12.0321621372759,14.0598142202441,12.9125696619474,12.1964789275936,11.5067040169025,11.0350206024113,10.6834607502343,10.6941976832858,10.8507806121132,11.0734611009773,11.3141405905185,11.7861263613197,12.2609179170361,12.6889238743135,13.1223729160036,13.7338582974711,14.1757720838237,14.8995120371038,15.3814927962737,16.0098996136914,16.5888578432486,17.1951829300057,17.700661038581,18.2860555563093,18.9304852207429,19.4879939917757,20.0131447636799,20.5672146240718,21.1448361261326,21.728723058072,22.2405566527212
check,30.4855344821388,30.1659403153154,29.9428013189511,29.6423572127398,29.4802959695531,29.3023194446145,29.0702047047241,28.9311126749789,28.729193175631,28.3295446985343,27.9261462041194,27.5360556044635,27.0597859216385,25.8717378965842,24.2838818970456,22.6875377636962,21.3431357982512,20.2953002009072,19.2768887024799,18.6272627880275,18.2839410464442,17.8134654066342,17.3527377840962,16.5665318949548,15.6216245125627,14.6435571141219,13.6518457328455,12.6393842217774,11.712281830028,10.82168271267,10.0815776992384,9.44796594155247,8.90778973339727,8.51800943517529,8.335739670032,8.47224752812038,8.82687107322484,9.27878308478296,9.79460823119843,10.3816633318033,11.0009804910406,11.6753959782547,12.4151595701195,13.2682608156716,14.1430685401892,15.1326914173199,16.1397964886337,17.1207237040141,18.040276486244,18.9645957744388,20.0198931315147,21.1313097220195,22.2109352276171,23.1507177079506,24.2916403615013,25.3039910919802,26.3758298773248,27.3375386216644,28.4373030851405,29.4700498308798,30.4630413045283,31.4375346839185,32.3625994887384,33.0614932616631
circle,19.0477816981711,19.2014672440648,19.5313622577088,19.9476011583773,20.577818264825,20.9753204566899,21.4487606274225,21.9046141358951,22.2584995698032,22.3163177603287,22.465906850978,22.663376356348,22.8466091690469,23.0684051343114,23.182590320602,23.1462437320896,23.0740780621813,22.9429611206946,22.708138119325,22.3951014505169,22.0670193826284,21.7855678557366,21.7657338849466,21.6631942049892,21.7285933891968,21.7553681319092,21.6464796021347,21.503435750308,21.4939035336688,21.7121053498439,21.893295677076,22.1112136249252,22.2135801964883,22.8933325716935,23.4653234990097,24.2462455103505,24.2774658140082,24.1961696615614,23.8282483397625,23.7821690583981,23.6701234425179,23.6426327389552,23.6342625991327,23.6494823333759,23.8048111765157,23.8515597764666,23.8809251543307,23.8450315190314,23.5369944161046,23.3286688490965,23.001141805189,22.5749369546835,22.4455859949026,22.0361145580696,21.8441889511227,21.6857866805319,21.0057562667825,20.8081669701206,20.6692285528897,20.7591697532035,21.0289726753317,21.3243362233616,21.346332142708,21.5569050312128
delete mark,24.9286064270126,23.1509240981967,21.9531201378574,20.6108174691443,19.6029347666454,18.482412122893,17.3540247345856,16.297363611072,15.3540595691647,14.6366459583072,13.9241214925422,13.2908489893809,12.7155637307211,12.3333777299562,12.043973545967,11.8764044534622,12.1985241243826,12.4735206940416,13.0986471919329,13.5741142288176,14.0763073772371,14.0250570890192,14.0536372642041,15.072640846651,16.2215812447384,17.5584899510717,18.8266761558569,19.6838383041778,20.2374544686703,20.5737988652591,20.9150327702678,21.2697467066524,21.7428759673438,21.9729331084084,22.2633550092567,22.3441732073921,20.7934394721602,19.3723435671193,17.6138785501168,15.951452981378,15.513551939682,14.9875830662152,14.3883378390104,13.9624552765077,12.8884230294725,12.0295499970558,11.4628915085159,10.5536723099409,10.5078813999775,10.7559611450071,11.3443202075936,12.4786108703944,13.4812862825111,13.8269819977329,14.7073411329076,15.6367051280009,16.482571462028,17.2913244133566,18.4790714521102,19.6401591390522,21.0247258431123,22.3396984419129,23.3755054029658,23.9663034341191
left curly brace,27.4161776877112,26.2446017837091,25.6270088704802,25.4526287349047,25.5369306930128,25.3320579736833,24.9899008117108,24.9601970712886,24.5707467818807,24.396680753938,23.5173910088004,22.6528572263875,21.7774516744991,20.4655186290072,19.5182114807156,18.6572391046098,17.9617864876767,17.0399084253865,15.727092535139,14.6360197710794,13.5712569309341,12.8093783805496,12.2169859714024,11.9608426241897,12.0949505322393,12.761077834518,12.4574942148602,12.7325681120318,13.1135718053209,12.9180352433522,12.721667521616,12.9369995617027,13.455953558345,14.3426664155655,15.1688475711712,15.8005929685017,15.9889895985742,16.2555057365124,17.0921664963479,17.1127593585281,16.9044909778895,15.8488108658918,14.9839301972012,14.9919365236456,15.1214115460949,15.9268902720413,17.0870549414014,18.0878416534974,19.2685619958091,19.2409808276213,18.8054233968129,18.7468877954859,18.8391265593535,19.3310714964642,20.3580600459373,21.5432097976648,23.444436525116,25.1946026103597,26.7229312254148,28.3114055094652,29.9743610566475,31.023581640047,31.2781431319706,31.2881421546942
left sq bracket,29.0500129400019,27.9491836023372,26.9483552023324,26.1228075858339,25.4398125862474,24.7876589243132,24.2248735176503,23.6417749929014,23.0517661388014,22.5916112136438,22.0833757745343,21.5155259806643,21.2467590150119,21.1321824859863,20.8570446244193,20.9352816242481,21.5662999223845,20.9587770644195,19.6335257314663,18.4074101621273,17.4530307055155,16.6161548487083,15.6972425173929,14.7874009565046,13.951172847984,13.2121234372561,12.569410296761,12.1137956071503,11.7061453031681,11.3654806338871,11.279987227819,11.3251583059349,11.5538501829708,11.8804241992623,12.3801907334212,13.0254762345446,13.6088575972926,14.2038178013728,14.9016288964073,15.554746189292,16.2726604901721,17.0831888880845,17.9647056225869,18.9408199391708,19.8870466003166,20.7633818609497,21.6122207894622,21.1503474429962,20.4735592699644,20.252319932021,20.2004178547219,20.7697788868499,21.6130128075777,22.6422059220031,23.6865975970805,24.5201592704565,25.2981117638943,26.1587752199144,27.1233982062422,27.9550748897939,28.8322089054021,29.8070898568635,30.7118551474535,31.6230616889411
pigtail,29.1744772296224,27.0082180388863,25.3300803931271,23.7207798175921,21.5591420008986,19.6890960941844,18.2757758245281,16.6359255027584,15.4417972028213,14.4946807575039,13.8510797670298,13.5493358625236,13.5150971950793,13.5558310693417,13.5879663451229,13.8410459957747,14.1589230009008,14.6028125564511,15.2795938762436,16.0062413360553,16.8161668422879,17.4996165447102,18.4078519968031,19.4086832491335,20.7374801425586,22.1676877487232,23.2695152576959,24.0842424501406,24.508834625183,24.9391231560006,25.4017831712751,25.2296012655618,24.6388198955261,23.7982409391086,22.6856788560159,21.9287325251562,21.0232647013964,20.5892899921869,19.8687066368676,19.8096407421451,19.7017575969072,18.7467652599349,18.5056376336873,17.7058467514146,17.2047648299222,16.6863067100204,16.1214662030736,15.7702452376072,15.6375351598464,15.5452585559609,15.5165736912774,15.4268542553019,15.8490429805616,16.5375599225863,17.2565958068058,18.068616443628,19.4009252761853,21.2906170291867,23.1381082311929,25.0654257207167,27.0104940282476,28.9785326495653,30.8351614438204,32.1502354962804
rectangle,29.6862089507687,28.5649319487043,27.8827246495714,27.3606811663277,27.0809205677336,27.0384603431306,27.3296223977211,27.8613724072164,28.2668938902085,28.4058673029609,28.3530968280612,27.2337814013621,27.8469707575595,24.615459661696,22.3293779961569,21.0562978166669,20.1254186177901,19.6510361486028,19.3027598553804,19.1064987897976,19.0433904457042,19.2816318233298,19.697357148529,20.2910030359564,21.0962855355085,22.1273335515832,23.4031115200138,24.837974188395,26.4610661973808,28.1873012355388,29.7798952749684,30.9907604255847,30.9916596865296,29.6338325813451,28.8659286230862,28.2607545724493,27.8296370053636,27.8112362037556,27.9670743092746,28.3491662980536,28.8592258440732,29.245258629529,29.2920577125685,28.9902508755907,28.0594488661174,24.8284378887236,22.5365049071232,21.0928810818013,20.3927178466031,19.675248478963,18.9754442158006,18.427367388983,18.0916482215867,18.1452469553114,18.4994271673667,19.2886774515472,20.5376852370506,22.0346018985235,23.8774897719167,25.8735246326726,27.8744692650236,29.5634816991317,30.4741748454877,32.2578039845991
right curly brace,29.1705747430532,28.2704502466674,27.4297972165373,26.6143525876244,25.8671808469673,24.8280767797159,24.1729168815339,23.9116677073405,23.8022130548966,23.8715566780862,23.9663875240764,24.4453511620794,25.0705210971507,25.0073639784594,24.6017593919916,24.0566932541139,23.3845889682421,22.1042715886914,19.6200742156925,17.6569283571266,16.0672294629267,14.6143098612829,13.5446261751811,12.7211437951101,12.2239022006553,12.0866048720534,12.2173162752717,12.8176454476422,14.7487646829568,17.4592892712824,20.4409972682045,20.5512886017023,18.0910760114505,16.486223038779,15.8580233593243,15.6493890167492,15.013136809134,14.4249247649785,13.5609864543612,12.7946072567711,12.6471740259258,12.9457017345167,13.3834261652151,13.658197544904,14.11677880564,14.8081898157352,15.6110503779921,16.3800027526297,17.3242146700726,18.1633755280239,18.8962091643042,19.6005076147443,20.2657732555892,20.9285123132681,21.7058977610604,22.5060634550546,23.5667845027899,24.5901454190916,25.6594979389891,26.9400372451466,27.7664994053502,28.561959033869,29.3298152030079,29.9183158366847
