Recognition Log: Kshitij Sinha(1416-0481) Hritik Baweja(5667-7397) // [$1 RECOGNITION ALGORITHM] // [Unistroke Gesture Logs] // USER-DEPENDENT RANDOM-100
User[all-users],GestureType[all-gestures-types],RandomIteration[1to100],#ofTrainingExamples[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
1,Zero,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",Zero05,Zero04,1,0.95,Zero04,"{'Zero04': 0.9515285245165945, 'Six06': 0.7194092986140942, 'Eight09': 0.5808016934460396, 'Four08': 0.5381043516907672, 'One02': 0.37191307281208874, 'Two07': 0.3717005240728656, 'Three03': 0.3690507347401675, 'Seven10': 0.3097302695520836, 'Nine09': 0.30774188188244334, 'Five06': 0.28744726444993596}"
1,One,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",One03,One02,1,0.94,One02,"{'One02': 0.9421591927421114, 'Two07': 0.7223148199119171, 'Seven10': 0.6766713348395541, 'Three03': 0.6746498345085411, 'Five06': 0.6659673284582057, 'Eight09': 0.49599745282839924, 'Six06': 0.4651542286151831, 'Nine09': 0.4503321848009655, 'Zero04': 0.421324901671993, 'Four08': 0.3685413879844829}"
1,Two,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",Two06,Two07,1,0.93,Two07,"{'Two07': 0.9293757621392414, 'Seven10': 0.7878356296385154, 'One02': 0.7518997891201107, 'Three03': 0.7207459293388604, 'Five06': 0.6494714937295059, 'Nine09': 0.4239270948912254, 'Six06': 0.39055418228805916, 'Zero04': 0.3477526756042689, 'Eight09': 0.3366814137005174, 'Four08': 0.3229063038354445}"
1,Three,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",Three04,Three03,1,0.89,Three03,"{'Three03': 0.8854701811026091, 'Two07': 0.7848149743273146, 'Seven10': 0.774776195094356, 'Five06': 0.7001731624806744, 'One02': 0.6865100156606858, 'Nine09': 0.47572336223947154, 'Six06': 0.4130718595232631, 'Four08': 0.3820746117539612, 'Zero04': 0.3717511092234106, 'Eight09': 0.33212178366319267}"
1,Four,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",Four09,Four08,1,0.9,Four08,"{'Four08': 0.8962644473763189, 'Six06': 0.6442578948617815, 'Zero04': 0.6117284123322788, 'Nine09': 0.516440014344207, 'Eight09': 0.49102069274518045, 'Five06': 0.49007936915281625, 'Three03': 0.4751293423545999, 'One02': 0.4367839988119804, 'Seven10': 0.35252410105874066, 'Two07': 0.3515399650550751}"
1,Five,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",Five08,Five06,1,0.83,Five06,"{'Five06': 0.83000925144491, 'Two07': 0.5921594118477204, 'One02': 0.5909455705372235, 'Nine09': 0.5479188787095746, 'Seven10': 0.5448616931115564, 'Three03': 0.5432751311908495, 'Six06': 0.4954583264636607, 'Four08': 0.4360936500310689, 'Eight09': 0.287818645402814, 'Zero04': 0.23308668847645664}"
1,Six,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",Six07,Six06,1,0.82,Six06,"{'Six06': 0.8186404600266632, 'Four08': 0.6489198576055615, 'Zero04': 0.6199716587428534, 'Five06': 0.5901843609333361, 'Eight09': 0.5506018235563237, 'Three03': 0.4894855259096802, 'One02': 0.48082009792253044, 'Two07': 0.4073850304651224, 'Nine09': 0.36363950941617784, 'Seven10': 0.32999998086895477}"
1,Seven,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",Seven01,Seven10,1,0.91,Seven10,"{'Seven10': 0.9135065943363696, 'Two07': 0.8130458098083757, 'Three03': 0.7715760282265238, 'One02': 0.7151329274122771, 'Five06': 0.6732617422819904, 'Nine09': 0.4872244355508685, 'Six06': 0.3731356938435132, 'Four08': 0.3548142209603167, 'Zero04': 0.33763297533469105, 'Eight09': 0.3037480403377584}"
1,Eight,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",Eight06,Eight09,1,0.82,Eight09,"{'Eight09': 0.8208488411102793, 'Zero04': 0.46889449184857357, 'One02': 0.44210055696644546, 'Six06': 0.42578821239949205, 'Four08': 0.38280794174892674, 'Three03': 0.35347095000787443, 'Two07': 0.3268557612231925, 'Nine09': 0.3097531215847158, 'Five06': 0.2649410071129801, 'Seven10': 0.25827860932630364}"
1,Nine,1,1,10,"['Zero04', 'One02', 'Two07', 'Three03', 'Four08', 'Five06', 'Six06', 'Seven10', 'Eight09', 'Nine09']",Nine03,Nine09,1,0.81,Nine09,"{'Nine09': 0.8094832020581756, 'Three03': 0.6027897940362015, 'Seven10': 0.5890402938554185, 'Two07': 0.532696399812055, 'One02': 0.5310376787692057, 'Five06': 0.5281095565993714, 'Four08': 0.48772515696049057, 'Eight09': 0.3103578836902591, 'Six06': 0.2966198783449966, 'Zero04': 0.2902982999251935}"
1,Zero,1,2,20,"['Zero01', 'Zero10', 'One07', 'One06', 'Two02', 'Two07', 'Three06', 'Three02', 'Four01', 'Four02', 'Five08', 'Five02', 'Six01', 'Six05', 'Seven01', 'Seven07', 'Eight03', 'Eight04', 'Nine10', 'Nine06']",Zero03,Zero10,1,0.92,Zero10,"{'Zero10': 0.923700626791851, 'Zero01': 0.9021910332785164, 'Six05': 0.6879317230622012, 'Four02': 0.5948308604204207, 'Six01': 0.5428793966564663, 'Eight03': 0.5078981643528033, 'Four01': 0.4873220956588762, 'Eight04': 0.4491732872426668, 'Three02': 0.44722877964015406, 'One07': 0.43607888698672914, 'Three06': 0.41245096082671306, 'Nine06': 0.3950128836375476, 'Two07': 0.37632527426725393, 'Two02': 0.3641908731801169, 'One06': 0.35705160141315595, 'Five02': 0.34563664592458376, 'Seven01': 0.32606205202692673, 'Nine10': 0.22093679354144435, 'Five08': 0.21492141178286295, 'Seven07': 0.19044490578651674}"
1,One,1,2,20,"['Zero01', 'Zero10', 'One07', 'One06', 'Two02', 'Two07', 'Three06', 'Three02', 'Four01', 'Four02', 'Five08', 'Five02', 'Six01', 'Six05', 'Seven01', 'Seven07', 'Eight03', 'Eight04', 'Nine10', 'Nine06']",One05,One06,1,0.77,One06,"{'One06': 0.7689650945680944, 'Five08': 0.660268655840838, 'Five02': 0.6409670002241048, 'Three06': 0.6104400563593391, 'Two07': 0.5988907602388245, 'Two02': 0.5796006300743737, 'Seven01': 0.5450206144892806, 'Three02': 0.5327178506936812, 'One07': 0.5253854984590227, 'Six01': 0.5158280542547156, 'Six05': 0.4665204588613575, 'Nine10': 0.3989662324768357, 'Four01': 0.38219960577463197, 'Nine06': 0.37581423729705643, 'Four02': 0.36437026836526343, 'Eight03': 0.27380177565269537, 'Seven07': 0.19785345305339885, 'Eight04': 0.1694384744497408, 'Zero01': 0.008186966743761293, 'Zero10': 0.005080516292819026}"
